,en,de,en_idiom,en_task,existing_task
753,I hope that someone will pass on to him what was said .,"Jemand wird ihm hoffentlich mitteilen , worum es hier ging .",to pass on,translate English to German: I hope that someone will pass on to him what was said .,"<pad> Ich hoffe, daß ihm jemand mitteilen wird, was gesagt wurde.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
754,"In this respect , it is quite clear that the way we deal with Greece will be crucial but I want to insist that Greece has been treated in the same way as all the other countries when their situation was considered back in 1998 .","In dieser Hinsicht ist völlig klar , daß es von grundlegender Bedeutung sein wird , was wir mit Griechenland machen , aber ich betone , daß mit Griechenland nichts anderes getan wurde als mit den übrigen Ländern bei der Analyse ihrer Situation im Jahre 1998 .",to clear the way,"translate English to German: In this respect , it is quite clear that the way we deal with Greece will be crucial but I want to insist that Greece has been treated in the same way as all the other countries when their situation was considered back in 1998 .","<pad> In dieser Hinsicht ist es ganz klar, daß die Art und Weise, wie wir mit Griechenland umgehen, von entscheidender Bedeutung sein wird, aber ich möchte darauf bestehen, daß Griechenland bei der Überprüfung ihrer Situation im Jahre 1998 so behandelt wurde wie alle anderen Länder.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
755,"Mr Oettinger , in the face of the drama in the Gulf of Mexico , drilling installations for extracting crude oil or gas should never be allowed to appear without a 100 % guarantee of safety for the seas and oceans concerned .","Herr Oettinger , angesichts des Dramas im Golf von Mexiko sollten Bohranlagen zur Förderung von Öl oder Gas niemals ohne eine 100 % -ige Sicherheitsgarantie für die betroffenen Meere und Ozeane gebaut werden .",to be a gas,"translate English to German: Mr Oettinger , in the face of the drama in the Gulf of Mexico , drilling installations for extracting crude oil or gas should never be allowed to appear without a 100 % guarantee of safety for the seas and oceans concerned .","<pad> Herr Oettinger, angesichts des Dramas im Golf von Mexiko dürfen Bohranlagen für Rohöl oder Erdgas niemals ohne eine 100 %ige Garantie der Sicherheit für die betreffenden Meere und Ozeane auftreten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
756,It was also clear to us that the ' bonus culture ' could not continue in the way in which people had become used to .,"Wir waren uns auch darüber im Klaren , dass die "" Bonuskultur "" nicht weiterhin wie gewohnt beibehalten werden konnte .",to clear the way,translate English to German: It was also clear to us that the ' bonus culture ' could not continue in the way in which people had become used to .,"<pad> Es war uns auch klar, dass die "" Bonuskultur "" nicht so weitergehen konnte, wie sich die Menschen gewöhnt hatten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
757,"I know that my site can be subject to withholding in the Land of the Two Holy brothers and sisters .. .. Ihajabuh بس mean me understand Leach and no way to Arab media and human rights group Arbawip almost .. Said or whispered , or .. A glimpse of the subject ..","Ich weiß , dass meine Website unterliegen der Quellensteuer im Land der zwei heiligen Brüder und Schwestern .. .. Ihajabuh können بس meine mich zu verstehen Leach und keine Möglichkeit , die arabischen Medien und Menschenrechtsorganisationen Gruppe Arbawip fast .. Said oder leise , oder .. Ein Blick in das Thema ..",to be in the know,"translate English to German: I know that my site can be subject to withholding in the Land of the Two Holy brothers and sisters .. .. Ihajabuh بس mean me understand Leach and no way to Arab media and human rights group Arbawip almost .. Said or whispered , or .. A glimpse of the subject ..","<pad> Ich weiß, dass meine Website unterliegen kann der Zurückhaltung in dem Land der beiden Heiligen Brüder und Schwestern.... Ihajabuh <unk> bedeuten mich Leach verstehen und keinen Weg zu arabischen Medien und Menschenrechtsgruppe Arbawip fast.. Said oder flüstert, oder.. Ein Blick auf das Thema..</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
758,"The only people who ever knew their precise location were those whom Wormtail had told directly , but none of them would have been able to pass on the information .","Die einzigen , die jemals den genauen Ort kannten , waren jene , die ihn direkt von Wurmschwanz erfahren hatten , aber keiner von ihnen hätte die Information weitergeben können .",to pass on,"translate English to German: The only people who ever knew their precise location were those whom Wormtail had told directly , but none of them would have been able to pass on the information .","<pad> Die einzigen Personen, die jemals ihren genauen Standort kannten, waren diejenigen, die Wormtail direkt erzählt hatte, aber keiner von ihnen hätte die Informationen weitergeben können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
759,"This loss is paid for by those who sit up there in the public gallery , the European man in the street , and so long as you are not prepared to pass on the costs in full and therefore also to put money in the alternatives , the shameful political fight will continue against justice on the roads of Europe .","Für diese Schäden zahlen diejenigen , die hier oben auf den Tribünen sitzen , d.h. der kleine Mann in Europa , und solange ihr nicht bereit seid , die Kosten voll umzulegen und dann auch das Geld in die Alternativen zu stecken , so lange ist das niederer politischer Kampf gegen Gerechtigkeit auf Europas Straßen .",to pass on,"translate English to German: This loss is paid for by those who sit up there in the public gallery , the European man in the street , and so long as you are not prepared to pass on the costs in full and therefore also to put money in the alternatives , the shameful political fight will continue against justice on the roads of Europe .","<pad> Dieser Verlust wird von denjenigen bezahlt, die dort auf der Tribüne sitzen, dem europäischen Mann auf der Straße, und solange Sie nicht bereit sind, die Kosten vollständig weiterzugeben und damit auch Geld in die Alternativen zu investieren, wird der beschämende politische Kampf gegen Gerechtigkeit auf den Straßen Europas fortgesetzt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
760,"We know that Algeria 's problems have to be solved by the Algerians themselves , but in maintaining relations between the European Union and Algeria and in the new framework for those relations , Europe must not forget that its own essence is based on democracy and respect for human rights , and it cannot turn a blind eye to a situation which flouts the most elementary standards of universal democracy .","Wir wissen , daß nur die Algerier selbst die Probleme Algeriens lösen können , doch bei den Beziehungen , die die Europäische Union mit Algerien unterhält , und angesichts des neuen Rahmens der Beziehungen darf Europa nicht vergessen , worauf das eigene Wesen sich gründet , nämlich die Demokratie und die Achtung der Menschenrechte , ebenso wie die Nicht-Ignorierung einer Situation , die weit von der elementarsten Norm der universellen Demokratie entfernt ist .",to be in the know,"translate English to German: We know that Algeria 's problems have to be solved by the Algerians themselves , but in maintaining relations between the European Union and Algeria and in the new framework for those relations , Europe must not forget that its own essence is based on democracy and respect for human rights , and it cannot turn a blind eye to a situation which flouts the most elementary standards of universal democracy .","<pad> Wir wissen, daß Algerien die Probleme selbst von den Algeriern gelöst werden muß, aber bei der Aufrechterhaltung der Beziehungen zwischen der Europäischen Union und Algerien und im neuen Rahmen dieser Beziehungen darf Europa nicht vergessen, daß sein eigenes Wesen auf Demokratie und Achtung der Menschenrechte beruht, und es darf nicht die Augen vor einer Situation verschließen, die die elementarsten Standards der allgemeinen Demokratie</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
761,I would ask you to pass on our thanks to all the services involved in moving us into our new offices in Brussels for the way this was carried out .,"Ich möchte Sie bitten , all den betroffenen Diensten unseren Dank dafür auszusprechen , wie sie uns beim Umzug in unsere neuen Büros in Brüssel geholfen haben .",to pass on,translate English to German: I would ask you to pass on our thanks to all the services involved in moving us into our new offices in Brussels for the way this was carried out .,"<pad> Ich bitte Sie, allen Dienststellen, die mit der Umwandlung in unsere neuen Büros in Brüssel beteiligt waren, unseren Dank für die Art und Weise zu übermitteln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
764,"Some companies , even in this day and age , are unsure of the advantages of having a presence on the Internet for their business .","Einige Unternehmen , auch in der heutigen Zeit , sind nicht von den Vorteilen , die eine Präsenz im Internet für ihr Geschäft .",in this day and age,"translate English to German: Some companies , even in this day and age , are unsure of the advantages of having a presence on the Internet for their business .","<pad> Einige Unternehmen, selbst in der heutigen Zeit, sind sich der Vorteile einer Präsenz im Internet für ihr Geschäft nicht sicher.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
766,"We feel that people ’ s individual and collective identity is formed by their collective memory and that this must be brought to the fore , so that we can all be aware of where we come from and define where we want to go .","Wir sind der Auffassung , dass die individuelle und kollektive Identität der Menschen von ihrem kollektiven Gedächtnis gebildet wird und dass dies in den Vordergrund gerückt werden muss , damit wir alle erfahren können , woher wir kommen , und bestimmen können , wohin wir gehen .",to come to the fore,"translate English to German: We feel that people ’ s individual and collective identity is formed by their collective memory and that this must be brought to the fore , so that we can all be aware of where we come from and define where we want to go .","<pad> Wir sind der Meinung, dass die individuelle und kollektive Identität der Menschen durch ihr kollektives Gedächtnis gebildet wird und dass dies in den Vordergrund gerückt werden muss, damit wir alle wissen, woher wir kommen und wohin wir gehen wollen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
769,Asthetically printmaking is connected to drawing and painting while working on the plate can pass into the area of sculpture .,"Ästhetisch verbindet sie viel mit Zeichnung und Malerei , wobei die Plattenbearbeitung in den Bereich der Plastik übergehen kann .",to pass on,translate English to German: Asthetically printmaking is connected to drawing and painting while working on the plate can pass into the area of sculpture .,<pad> Asthetically printmaking is connected to drawing and painting while working on the plate can pass into the area of sculpture.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
771,"Mr President , it is highly likely that Ireland will be the only European country to hold a referendum on the Lisbon Treaty .","( EN ) Herr Präsident ! Sehr wahrscheinlich wird Irland das einzige europäische Land sein , das zum Vertrag von Lissabon eine Volksabstimmung durchführt .",to be on hold,"translate English to German: Mr President , it is highly likely that Ireland will be the only European country to hold a referendum on the Lisbon Treaty .","<pad> Herr Präsident! Es ist sehr wahrscheinlich, dass Irland das einzige europäische Land sein wird, das ein Referendum zum Vertrag von Lissabon abhält.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
772,"Mr President , without a shadow of a doubt there has recently been movement on the Cypriot question and I think that the main reason for this movement is the application of Cyprus to join the European Union .","Herr Präsident , zweifelsohne gibt es in letzter Zeit Bewegung in der Sache Zyperns , und ich glaube , daß der Hauptgrund für diese Bewegung der EU-Beitrittsantrag Zyperns ist .",without a shadow of a doubt,"translate English to German: Mr President , without a shadow of a doubt there has recently been movement on the Cypriot question and I think that the main reason for this movement is the application of Cyprus to join the European Union .","<pad> Herr Präsident! In letzter Zeit gab es zweifellos Bewegungen in der zypriotischen Frage, und ich denke, der Hauptgrund für diese Bewegung ist die Bewerbung Zyperns, der Europäischen Union beizutreten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
773,"For instance , it is not clear which way to rotate the dial in order to activate a certain program .","So weiß man zunächst nicht , in welche Richtung man drehen muss , um ein bestimmtes Programm zu aktivieren .",to clear the way,"translate English to German: For instance , it is not clear which way to rotate the dial in order to activate a certain program .","<pad> Zum Beispiel ist es nicht klar, wie man das Wählrad drehen kann, um ein bestimmtes Programm zu aktivieren.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
774,"Fishermen , as we all know , need to be included in the process .","Die Fischer müssen , wie wir alle wissen , in den Prozess einbezogen werden .",to be in the know,"translate English to German: Fishermen , as we all know , need to be included in the process .","<pad> Die Fischer müssen, wie wir alle wissen, in den Prozess einbezogen werden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
775,"I hope that we will all be able to hold a more detailed debate on the White Paper , which will include the practical experience of businesses .","Ich wünsche uns allen , dass wir beim Weißbuch ausführlicher debattieren und Erfahrungen der Betriebspraktika einbeziehen .",to be on hold,"translate English to German: I hope that we will all be able to hold a more detailed debate on the White Paper , which will include the practical experience of businesses .","<pad> Ich hoffe, dass wir alle eine ausführlichere Debatte über das Weißbuch führen können, das die praktischen Erfahrungen der Unternehmen umfassen wird.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
776,"It forms and resounds in spaces , permits events to come to the fore , creates gestalts and gives direction to time 's passing .","Sie gestaltet und erklingt in Räumen , lässt Ereignisse in den Vordergrund treten , bildet Formen und gibt Verläufen eine Richtung .",to come to the fore,"translate English to German: It forms and resounds in spaces , permits events to come to the fore , creates gestalts and gives direction to time 's passing .","<pad> Sie formt und schlägt in Räumen, erlaubt es, Ereignisse in den Vordergrund zu rücken, schafft Gestalten und leitet den Zeitverlauf weiter.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
778,"Surely , in this modern day and age there is a better way in which we can carry this out ?",In der heutigen modernen Zeit gibt es sicherlich bessere Methoden .,in this day and age,"translate English to German: Surely , in this modern day and age there is a better way in which we can carry this out ?","<pad> Sicherlich gibt es in der heutigen Zeit eine bessere Möglichkeit, dies durchzuführen?</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
780,"If you are given the option to roll the dice , click PASS if you would like to pass on the opportunity .","Wenn Sie mit Würfeln an der Reihe sind , klicken Sie auf WEITERGEBEN , um weiterzugeben .",to pass on,"translate English to German: If you are given the option to roll the dice , click PASS if you would like to pass on the opportunity .","<pad> Wenn Sie die Möglichkeit erhalten, die Würfel zu rollen, klicken Sie auf PASS, wenn Sie die Möglichkeit nutzen möchten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
