,en,de,en_idiom,en_task,idiom_task
862,"Designing , Developing , Planning , Coordinating , Managing , Assuring Quality . It is within this framework that our IT specialists continually raise the bar thanks to their remarkably diverse set of creative and specialized skills .","Konzeption , Entwicklung , Planung , Steuerung , Lenkung und Gewährleistung bestimmen grob den Rahmen , innerhalb dessen Sie als Informatiker in unserem Konzern auf ausgesprochen vielseitige , kreative und technisch anspruchsvolle Weise Ihre Benchmarks setzen .",to raise the bar,"translate English to German with idiom: Designing , Developing , Planning , Coordinating , Managing , Assuring Quality . It is within this framework that our IT specialists continually raise the bar thanks to their remarkably diverse set of creative and specialized skills .","<pad> Idiom: Design, Entwicklung, Planung, Koordinierung, Management, Qualitätssicherung.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
864,"In a nutshell , they must enshrine all the values and principles which unite all European citizens .","Letztendlich geht es darum , daß die gemeinsamen Wertvorstellungen und Prinzipien aller europäischen Bürger entsprechend verankert werden .",in a nutshell,"translate English to German with idiom: In a nutshell , they must enshrine all the values and principles which unite all European citizens .","<pad> Idiom: Kurz gesagt, sie müssen alle Werte und Grundsätze festschreiben, die alle europäischen Bürger vereinen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
865,"I can assure you of one thing , Commissioner , and you can pass this on to your successor , Parliament will continue to touch on this sore point .","Und eins kann ich Ihnen versichern , Frau Kommissarin , geben Sie das an Ihren Nachfolger oder Ihre Nachfolgerin weiter : Das Parlament wird weiter die Finger in diese Wunde legen .",to pass on,"translate English to German with idiom: I can assure you of one thing , Commissioner , and you can pass this on to your successor , Parliament will continue to touch on this sore point .","<pad> Idiom: Ich kann Ihnen eines versichern, Herr Kommissar, und Sie können dies an Ihren Nachfolger weiterleiten, das Parlament wird diesen nüchternen Punkt weiterhin ansprechen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
866,All Inclusive offers you and your family excellent value for money and the opportunity to sit back and relax - we 'll take care of everything !,"Alles Inklusive Angebote bieten Ihnen und Ihre Familie ausgezeichneten Wert für Geld und die Gelegenheit , sich zurückzulehnen und zu entspannen , denn wir werden auf alles aufpassen !",take care !,translate English to German with idiom: All Inclusive offers you and your family excellent value for money and the opportunity to sit back and relax - we 'll take care of everything !,"<pad> idiom: All Inclusive bietet Ihnen und Ihrer Familie ein ausgezeichnetes Preis-Leistungs-Verhältnis und die Möglichkeit, sich zurückzulehnen und sich zu entspannen - wir kümmern uns um alles!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
867,"00 : 01 : 05 : 13 , 00 : 01 : 10 : 15 , So here 's the reasoning in a nutshell .","00 : 01 : 05 : 13 , 00 : 01 : 10 : 15 , Hier ist die Argumentation in aller Kürze .",in a nutshell,"translate English to German with idiom: 00 : 01 : 05 : 13 , 00 : 01 : 10 : 15 , So here 's the reasoning in a nutshell .","<pad> 00 : 01 : 05 : 13, 00 : 01 : 10 : 15</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
868,The public would find it incomprehensible if a Member State were to get out of hand without the EU doing anything about it .,"Die Bürgerinnen und Bürger würden nicht verstehen , wenn ein Mitgliedstaat aus dem Ruder läuft und die Union nichts unternimmt . Natürlich wollen wir nicht in die inneren Angelegenheiten eines Staates eingreifen .",to get out of hand,translate English to German with idiom: The public would find it incomprehensible if a Member State were to get out of hand without the EU doing anything about it .,"<pad> Idiom: Die <unk> ffentlichkeit würde es für unverständlich halten, wenn ein Mitgliedstaat aus der Hand käme, ohne dass die EU etwas dagegen tut.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
869,"Location is exellent for 1 week trip you can go to the top places in NY in just minutes , airport is just 25 min from this hotel by subway .",das zimmer war schön und sauber die betten groß und es war gut zu schlafen .,to go places,"translate English to German with idiom: Location is exellent for 1 week trip you can go to the top places in NY in just minutes , airport is just 25 min from this hotel by subway .","<pad> idiom: Location is exellent for 1 week trip you can go to the top places in NY in just minutes, airport is just 25 min from this hotel with subway.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
870,"It is obvious that , if we wish to beat illegal immigration , we need to stop undeclared work , because undeclared work means exploitation and is also a factor that attracts further illegal immigration .","Es liegt auf der Hand , dass , wenn wir die illegale Einwanderung besiegen wollen , wir die Schwarzarbeit stoppen müssen , weil Schwarzarbeit Ausbeutung bedeutet und zudem ein Faktor ist , der einen Anreiz für weitere illegale Einwanderung bietet .",to beat it,"translate English to German with idiom: It is obvious that , if we wish to beat illegal immigration , we need to stop undeclared work , because undeclared work means exploitation and is also a factor that attracts further illegal immigration .","<pad> Idiom: Es ist offensichtlich, dass wir, wenn wir illegale Einwanderung bekämpfen wollen, Schwarzarbeit aufhören müssen, denn Schwarzarbeit bedeutet Ausbeutung und ist auch ein Faktor, der weitere illegale Einwanderung anzieht.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
871,In the light of these Member States ' declarations it would be interesting to know how the Commission is preparing to implement the new Treaty now and in the future .,"Angesichts der Erklärungen der Mitgliedstaaten wäre es interessant zu erfahren , welche Vorbereitungen die Kommission trifft , um den Vertrag heute und in Zukunft anzuwenden .",to be in the know,translate English to German with idiom: In the light of these Member States ' declarations it would be interesting to know how the Commission is preparing to implement the new Treaty now and in the future .,"<pad> Idiom: Angesichts der Erklärungen dieser Mitgliedstaaten wäre es interessant zu erfahren, wie sich die Kommission jetzt und in Zukunft auf die Umsetzung des neuen Vertrags vorbereitet.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
872,"However , since the State of the Union address , a hard unilateralist line has come to the fore .",Seit der Rede über den Zustand der Nation setzt sich nun allerdings eine harte Linie der völligen Einseitigkeit durch .,to come to the fore,"translate English to German with idiom: However , since the State of the Union address , a hard unilateralist line has come to the fore .",<pad> Idiom: Seit der Ansprache des Staates der Union ist jedoch eine harte unilateralistische Linie in den Vordergrund gerückt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
873,It is therefore very important to pass on our experience in reinforcing democratic institutions .,"Es ist daher sehr wichtig , unsere Erfahrungen bei der Stärkung demokratischer Institutionen weiterzugeben .",to pass on,translate English to German with idiom: It is therefore very important to pass on our experience in reinforcing democratic institutions .,"<pad> Es ist daher sehr wichtig, unsere Erfahrungen bei der Stärkung demokratischer Institutionen weiterzugeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
874,I will happily pass on information to the Commissioner regarding companies which are deciding to transfer production outside EU Member States due to the constraints associated with reduced CO2 emissions .,"Ich bin gerne dazu bereit , der Frau Kommissarin Informationen über Unternehmen zukommen zu lassen , die sich dazu entschlossen haben , aufgrund der Beschränkungen in Zusammenhang mit reduzierten CO2 -Emissionen künftig außerhalb der EU zu produzieren .",to pass on,translate English to German with idiom: I will happily pass on information to the Commissioner regarding companies which are deciding to transfer production outside EU Member States due to the constraints associated with reduced CO2 emissions .,"<pad> Idiom: Ich werde gerne dem Kommissar Informationen über Unternehmen übermitteln, die aufgrund der Einschränkungen im Zusammenhang mit reduzierten CO2-Emissionen die Produktion außerhalb der EU-Mitgliedstaaten verlagern.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
875,"Mr Dupuis , the Commission decides which Commissioners attend Question Time and determines the distribution of questions ; in any event , we note what you are saying and will pass on your concerns to the Commission .","Herr Dupuis , welche Kommissionsmitglieder zur Fragestunde kommen , entscheidet die Kommission ; sie nimmt auch die Aufteilung der Anfragen vor . Auf jeden Fall nehmen wir Ihre Worte zur Kenntnis und werden Ihr Anliegen an die Kommission weiterleiten .",to pass on,"translate English to German with idiom: Mr Dupuis , the Commission decides which Commissioners attend Question Time and determines the distribution of questions ; in any event , we note what you are saying and will pass on your concerns to the Commission .","<pad> Herr Dupuis, die Kommission beschließt, welche Kommissare an der Fragestunde teilnehmen und die Verteilung der Anfragen festlegt ; auf jeden Fall nehmen wir zur Kenntnis, was Sie sagen und werden Ihre Bedenken an die Kommission weiterleiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
876,"If they cannot recoup some of them from the sale of spare parts , it is logical that they will have to pass them on through the price of new cars , and so cars will become more expensive .","Bringen sie sie nicht bei den Ersatzteilen unter , werden sie sie denklogisch auf den Neuwagenpreis umlegen müssen . Also werden die Autos teurer .",to pass on,"translate English to German with idiom: If they cannot recoup some of them from the sale of spare parts , it is logical that they will have to pass them on through the price of new cars , and so cars will become more expensive .","<pad> Idiom: Wenn sie einige von ihnen nicht aus dem Verkauf von Ersatzteilen zurückholen können, ist es logisch, dass sie sie durch den Preis für Neuwagen weitergeben müssen, und damit werden Autos teurer.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
877,— Will it take you months to beat all the levels ?,"— Brauchen Sie Monaten , um alle Levels zu beenden ?",to beat it,translate English to German with idiom: — Will it take you months to beat all the levels ?,"<pad> — Werden Sie Monate dauern, um alle Levels zu schlagen?</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
878,"As I said , I will immediately pass on your questions to Mrs Bjerregaard , who will be able to give you full answers .","Wie ich bereits sagte , werde ich die von Ihnen gestellten Fragen unverzüglich Frau Bjerregaard übermitteln , die in der Lage sein wird , Ihnen dazu vollständige Antworten zu geben .",to pass on,"translate English to German with idiom: As I said , I will immediately pass on your questions to Mrs Bjerregaard , who will be able to give you full answers .","<pad> Wie gesagt, werde ich Ihre Fragen umgehend an Frau Bjerregaard weiterleiten, die Ihnen vollständige Antworten geben kann.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
879,Exchange programmes for teachers at all levels of education aimed at practicing teaching various subjects in a foreign language help to prepare teachers who can then pass on their linguistic expertise to pupils and students in their home countries .,"Austauschprogramme für Lehrer aller Unterrichtsstufen mit dem Ziel , in einer Fremdsprache Unterricht zu unterschiedlichen Themen zu halten , unterstützt die Lehrer bei ihrer Vorbereitung , die dann ihre sprachlichen Erfahrungen an ihre Schüler und Studenten in ihren Heimatländern weitergeben können .",to pass on,translate English to German with idiom: Exchange programmes for teachers at all levels of education aimed at practicing teaching various subjects in a foreign language help to prepare teachers who can then pass on their linguistic expertise to pupils and students in their home countries .,"<pad> Idiom: Austauschprogramme für Lehrer auf allen Bildungsebenen, die darauf abzielen, verschiedene Themen in einer Fremdsprache zu praktizieren, helfen Lehrern vorzubereiten, die dann ihr Sprachwissen an Schüler und Studenten in ihrem Heimatland weitergeben können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
880,"These are all good suggestions to get the ball rolling , but they are no substitute for an overall solution .","Alles gute Möglichkeiten des Einstiegs , aber kein Ersatz für eine umfassende Lösung .",to get the ball rolling,"translate English to German with idiom: These are all good suggestions to get the ball rolling , but they are no substitute for an overall solution .","<pad> Idiom: Das alles sind gute Vorschläge, um den Ball in Gang zu bringen, aber sie sind kein Ersatz für eine Gesamtlösung.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
881,Either you choose for a Low budget- or a custom made fair booth ; we always take care for an excellent quality and a perfect finishing off !,"Ob Sie nun wählen für einen low-budget Stand oder einen Stand nach Maßarbeit , wir sorgen jederzeit für ausgezeichnete Kwalität und eine perfekte Ausführung !",take care !,translate English to German with idiom: Either you choose for a Low budget- or a custom made fair booth ; we always take care for an excellent quality and a perfect finishing off !,<pad> Idiom: Entweder Sie wählen sich für einen niedrigen Budget- oder einen maßgeschneiderten Messestand ; wir sorgen stets für eine ausgezeichnete Qualität und ein perfektes Finishing!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
882,Those were the days when health policy was dealt with as a purely national concern .,"Das waren noch Zeiten , als die Gesundheitspolitik nur rein national behandelt wurde !",those were the days .,translate English to German with idiom: Those were the days when health policy was dealt with as a purely national concern .,"<pad> Das waren die Tage, in denen die Gesundheitspolitik als rein nationales Anliegen behandelt wurde.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
