,en,de,en_idiom,en_task,existing_task_finetuned
640,Every active substance must pass through various phases of clinical trials on its way to becoming a drug .,Jeder Wirkstoff muss auf seinem Weg zum Medikament verschiedene Phasen klinischer Studien erfolgreich durchlaufen .,to pass on,translate English to German: Every active substance must pass through various phases of clinical trials on its way to becoming a drug .,<pad> Jeder Wirkstoff muss durch verschiedene Phasen klinischer Studien auf dem Weg zu einem Medikament durchlaufen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
641,"If the market is constrained , if fishermen are not able to directly pass on the costs of fish to their consumers , then that is something that we should investigate .","Wenn der Markt beschränkt ist , wenn die Fischer die Kosten des Fischs nicht direkt auf ihre Kunden umlegen können , dann ist das etwas , was wir untersuchen sollten .",to pass on,"translate English to German: If the market is constrained , if fishermen are not able to directly pass on the costs of fish to their consumers , then that is something that we should investigate .","<pad> Wenn der Markt eingeschränkt ist, wenn die Fischer nicht in der Lage sind, die Kosten für Fisch direkt auf ihre Verbraucher abzuwälzen, dann sollten wir das prüfen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
642,"Are you not afraid that such penalties might get out of hand and serve to punish not violations of human rights but simple differences of opinion , unpopular opinions or deviations from the dominant European thinking ?","Befürchten Sie nicht , daß solche Sanktionen mißbräuchlich nicht nur gegen Menschenrechtsverletzungen , sondern auch gegen bloße Meinungsverschiedenheiten , gegen Meinungsdelikte oder Abweichungen von dem herrschenden europäischen Einheitsdenken eingesetzt werden könnten ?",to get out of hand,"translate English to German: Are you not afraid that such penalties might get out of hand and serve to punish not violations of human rights but simple differences of opinion , unpopular opinions or deviations from the dominant European thinking ?","<pad> Befürchten Sie nicht, dass solche Strafen aus dem Ruder laufen und dazu dienen könnten, nicht Menschenrechtsverletzungen, sondern einfache Meinungsverschiedenheiten, unpopuläre Meinungen oder Abweichungen von dem vorherrschenden europäischen Denken zu bestrafen?</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
643,"Mr de Miguel , I am glad to hear you speak again .","Ich freue mich , erneut Herrn de Miguel zu hören .",i hear you .,"translate English to German: Mr de Miguel , I am glad to hear you speak again .","<pad> Herr de Miguel, ich freue mich, dass Sie erneut das Wort ergreifen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
645,"It is the natural prerogative of a state to fly its flag on a ship , as recognised by the international court at The Hague since the famous cases known as the Muscat Dhows Case and the Lotus Case .","Es ist das natürliche Recht eines jeden Landes , einem Schiff seine Flagge übertragen zu können , wie dies vom Internationalen Gerichtshof in Den Haag in den bekannten Rechtssachen der Dhaus von Maskat oder des Schiffes Lotus anerkannt wurde .",to fly by,"translate English to German: It is the natural prerogative of a state to fly its flag on a ship , as recognised by the international court at The Hague since the famous cases known as the Muscat Dhows Case and the Lotus Case .","<pad> Es ist das natürliche Vorrecht eines Staates, seine Flagge auf einem Schiff zu fliegen, wie es das internationale Gericht in Den Haag vor den berühmten Fällen, genannt als Muscat Dhows und Lotus, anerkannt hat.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
646,"Summers ’ s argument , in a nutshell , is that if the expected profitability of investment is falling , interest rates need to fall to the same extent . But interest rates cannot fall below zero ( in fact , they may be stuck above zero if there is a strong desire to build up cash balances ) .","Summers ’ Argument lautet kurzgefasst : wenn die erwartete Rentabilität der Investitionen sinkt , müssen auch die Zinsen in gleichem Ausmaß sinken . Doch Zinssätze können nicht unter null fallen ( tatsächlich könnten sie über null feststecken , wenn ein starker Wunsch nach dem Aufbau von Barguthaben besteht ) .",in a nutshell,"translate English to German: Summers ’ s argument , in a nutshell , is that if the expected profitability of investment is falling , interest rates need to fall to the same extent . But interest rates cannot fall below zero ( in fact , they may be stuck above zero if there is a strong desire to build up cash balances ) .","<pad> Die Argumentation von Summers ist, kurz gesagt, dass, wenn die erwartete Rentabilität der Investitionen sinkt, die Zinssätze in dem gleichen Ausmaß fallen müssen. Aber die Zinssätze können nicht unter Null fallen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
647,It would be useful to know whether the Council feels that the upturn in growth in Europe is such as to favour this essential turnaround and how the Council intends to promote it .,"Wir wüßten gern , ob nach Auffassung des Rates die Wiederbelebung der Konjunktur in Europa geeignet ist , diese unerläßliche Belebung zu fördern und was er hierfür zu tun gedenkt .",to be in the know,translate English to German: It would be useful to know whether the Council feels that the upturn in growth in Europe is such as to favour this essential turnaround and how the Council intends to promote it .,"<pad> Es wäre nützlich zu wissen, ob der Rat der Aufschwung des Wachstums in Europa eine solche Belebung begünstigt und wie er diese wesentliche Wende fördern will.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
648,"That is why I have undertaken , if evidence is produced , to pass it on to the relevant individuals .","Deshalb habe ich zugesagt , die Angelegenheit bei Vorlage entsprechender Beweise an die zuständigen Personen weiterzuleiten .",to pass on,"translate English to German: That is why I have undertaken , if evidence is produced , to pass it on to the relevant individuals .","<pad> Deshalb habe ich mich verpflichtet, sie bei Vorlage von Beweisen an die betreffenden Personen weiterzugeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
649,Let us be very consistent in that and let us call on the Commission and the Council to pass on this message via all of our assistance programmes to the government and authorities in Afghanistan .,"Wir müssen in unserer Haltung konsequent sein . Die Kommission und der Rat sind aufzufordern , diese Botschaft über alle unsere Hilfsprogramme an die Regierung und die Behörden in Afghanistan weiterzugeben .",to pass on,translate English to German: Let us be very consistent in that and let us call on the Commission and the Council to pass on this message via all of our assistance programmes to the government and authorities in Afghanistan .,"<pad> Lassen Sie uns das mit aller Konsequenz tun und die Kommission und den Rat auffordern, diese Botschaft über alle unsere Hilfsprogramme an die Regierung und Behörden in Afghanistan weiterzuleiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
650,I would like to pass on five pieces of news by way of preliminary remarks .,Ich möchte hierzu fünf Neuigkeiten in Form von Vorbemerkungen weitergeben .,to pass on,translate English to German: I would like to pass on five pieces of news by way of preliminary remarks .,<pad> Ich möchte fünf Nachrichten als Vorbemerkungen weitergeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
651,Rufus stands out as one of the best and most unusual musical talents to have come to the fore in the past decade .,"Rufus ist einer der besten und atypischen Musiktalente , die im letzten Jahrzehnt auf die Bühnen kamen .",to come to the fore,translate English to German: Rufus stands out as one of the best and most unusual musical talents to have come to the fore in the past decade .,"<pad> Rufus zeichnet sich als eines der besten und außergewöhnlichsten musikalischen Talente heraus, das in den letzten zehn Jahren in den Vordergrund gerückt ist.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
652,I shall pass your point on to the President of Parliament because I am not a court that can judge even your arguments of unfair treatment today .,"Ich werde der Parlamentspräsidentin Ihren Standpunkt übermitteln , denn ich bin kein Gericht und kann hier auch nicht Ihre Argumente bezüglich eines Verstoßes gegen die Fairness beurteilen .",to pass on,translate English to German: I shall pass your point on to the President of Parliament because I am not a court that can judge even your arguments of unfair treatment today .,"<pad> Ich werde Ihre Anregung der Parlamentspräsidentin übermitteln, denn ich bin kein Gericht, das heute auch nicht über Ihre Argumente für unfaire Behandlung entscheiden kann.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
653,"But we need to establish simple , daily and effective information to pass on and decentralise the interest among citizens in the work that we do here .","Wir müssen eine einfache , tägliche und effiziente Informationstätigkeit praktizieren , welche die Bedeutung der Arbeit , die wir hier verrichten , für die Bürger dezentral vermittelt .",to pass on,"translate English to German: But we need to establish simple , daily and effective information to pass on and decentralise the interest among citizens in the work that we do here .","<pad> Aber wir müssen einfache, tägliche und wirksame Informationen festlegen, damit das Interesse der Bürgerinnen und Bürger an der Arbeit, die wir hier leisten, weitergegeben und dezentralisiert wird.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
654,"Their outstanding traits are their high level of qualification and creativity , exceptional motivation and willingness to go the extra mile .",Sie zeichnen sich durch hohe Qualifikation und Kreativität sowie überdurchschnittliche Einsatzbereitschaft und Motivation aus .,to go the extra mile,"translate English to German: Their outstanding traits are their high level of qualification and creativity , exceptional motivation and willingness to go the extra mile .","<pad> Ihre herausragenden Merkmale sind ihre hohe Qualifikation und Kreativität, außergewöhnliche Motivation und Bereitschaft, mit diesen Schritten zu unternehmen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
655,Off course we will treat all your data with the highest confidentiality and will not pass anything on to others .,Natürlich werden alle Ihre Daten absolut vertraulich behandelt und nicht an Dritte weitergegeben .,to pass on,translate English to German: Off course we will treat all your data with the highest confidentiality and will not pass anything on to others .,<pad> Offensichtlich behandeln wir alle Ihre Daten mit höchster Vertraulichkeit und geben nichts an andere weiter.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
656,"Any way you look at it , the Juicy Seven has always been hard to beat .","Wie man es auch dreht und wendet , die Juicy Seven war schon immer kaum zu schlagen .",to beat it,"translate English to German: Any way you look at it , the Juicy Seven has always been hard to beat .","<pad> Wie man es auch immer sehen mag, war der Juicy Seven immer schwer zu schlagen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
657,"The House is holding a joint debate , and I should like to hear two statements from you .","Wir führen eine verbundene Debatte , und ich hätte gern zwei Erklärungen von Ihnen .",i hear you .,"translate English to German: The House is holding a joint debate , and I should like to hear two statements from you .","<pad> Das Haus führt eine gemeinsame Aussprache durch, und ich möchte von Ihnen zwei Erklärungen hören.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
659,"As you know , this demand means that the offence must also be punishable in the country to which the request for assistance is made in order for assistance to be able to be given .","Diese Forderung beinhaltet , wie Sie wissen , daß die Straftat auch in dem Land strafbar sein muß , an welches ein Amtshilfeersuchen gestellt wird , damit Amtshilfe geleistet werden kann .",to be in the know,"translate English to German: As you know , this demand means that the offence must also be punishable in the country to which the request for assistance is made in order for assistance to be able to be given .","<pad> Wie Ihnen bekannt ist, heißt diese Forderung, daß die Straftat auch in dem Land, in dem die Bitte um Hilfe geleistet wird, bestraft werden muß, um Hilfe zu erhalten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
660,I can assure you that we will note with interest the issues raised during the discussion and pass them on to all our colleagues .,"Ich kann Ihnen versichern , dass wir die Dinge , die hier während der Debatte angesprochen werden , mit Interesse verfolgen und an alle unsere Kollegen weiterleiten werden .",to pass on,translate English to German: I can assure you that we will note with interest the issues raised during the discussion and pass them on to all our colleagues .,"<pad> Ich kann Ihnen versichern, dass wir die bei der Diskussion angesprochenen Fragen mit Interesse zur Kenntnis nehmen und sie allen unseren Kollegen übermitteln werden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
661,The floor is yours .,Sie haben das Wort .,the floor is yours .,translate English to German: The floor is yours .,<pad> Das Wort hat Ihnen das Wort.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
