,en,de,en_task
641,"If the market is constrained , if fishermen are not able to directly pass on the costs of fish to their consumers , then that is something that we should investigate .","Wenn der Markt beschränkt ist , wenn die Fischer die Kosten des Fischs nicht direkt auf ihre Kunden umlegen können , dann ist das etwas , was wir untersuchen sollten .","translate English to German: If the market is constrained , if fishermen are not able to directly pass on the costs of fish to their consumers , then that is something that we should investigate ."
642,"Are you not afraid that such penalties might get out of hand and serve to punish not violations of human rights but simple differences of opinion , unpopular opinions or deviations from the dominant European thinking ?","Befürchten Sie nicht , daß solche Sanktionen mißbräuchlich nicht nur gegen Menschenrechtsverletzungen , sondern auch gegen bloße Meinungsverschiedenheiten , gegen Meinungsdelikte oder Abweichungen von dem herrschenden europäischen Einheitsdenken eingesetzt werden könnten ?","translate English to German: Are you not afraid that such penalties might get out of hand and serve to punish not violations of human rights but simple differences of opinion , unpopular opinions or deviations from the dominant European thinking ?"
643,"Mr de Miguel , I am glad to hear you speak again .","Ich freue mich , erneut Herrn de Miguel zu hören .","translate English to German: Mr de Miguel , I am glad to hear you speak again ."
645,"It is the natural prerogative of a state to fly its flag on a ship , as recognised by the international court at The Hague since the famous cases known as the Muscat Dhows Case and the Lotus Case .","Es ist das natürliche Recht eines jeden Landes , einem Schiff seine Flagge übertragen zu können , wie dies vom Internationalen Gerichtshof in Den Haag in den bekannten Rechtssachen der Dhaus von Maskat oder des Schiffes Lotus anerkannt wurde .","translate English to German: It is the natural prerogative of a state to fly its flag on a ship , as recognised by the international court at The Hague since the famous cases known as the Muscat Dhows Case and the Lotus Case ."
646,"Summers ’ s argument , in a nutshell , is that if the expected profitability of investment is falling , interest rates need to fall to the same extent . But interest rates cannot fall below zero ( in fact , they may be stuck above zero if there is a strong desire to build up cash balances ) .","Summers ’ Argument lautet kurzgefasst : wenn die erwartete Rentabilität der Investitionen sinkt , müssen auch die Zinsen in gleichem Ausmaß sinken . Doch Zinssätze können nicht unter null fallen ( tatsächlich könnten sie über null feststecken , wenn ein starker Wunsch nach dem Aufbau von Barguthaben besteht ) .","translate English to German: Summers ’ s argument , in a nutshell , is that if the expected profitability of investment is falling , interest rates need to fall to the same extent . But interest rates cannot fall below zero ( in fact , they may be stuck above zero if there is a strong desire to build up cash balances ) ."
647,It would be useful to know whether the Council feels that the upturn in growth in Europe is such as to favour this essential turnaround and how the Council intends to promote it .,"Wir wüßten gern , ob nach Auffassung des Rates die Wiederbelebung der Konjunktur in Europa geeignet ist , diese unerläßliche Belebung zu fördern und was er hierfür zu tun gedenkt .",translate English to German: It would be useful to know whether the Council feels that the upturn in growth in Europe is such as to favour this essential turnaround and how the Council intends to promote it .
648,"That is why I have undertaken , if evidence is produced , to pass it on to the relevant individuals .","Deshalb habe ich zugesagt , die Angelegenheit bei Vorlage entsprechender Beweise an die zuständigen Personen weiterzuleiten .","translate English to German: That is why I have undertaken , if evidence is produced , to pass it on to the relevant individuals ."
649,Let us be very consistent in that and let us call on the Commission and the Council to pass on this message via all of our assistance programmes to the government and authorities in Afghanistan .,"Wir müssen in unserer Haltung konsequent sein . Die Kommission und der Rat sind aufzufordern , diese Botschaft über alle unsere Hilfsprogramme an die Regierung und die Behörden in Afghanistan weiterzugeben .",translate English to German: Let us be very consistent in that and let us call on the Commission and the Council to pass on this message via all of our assistance programmes to the government and authorities in Afghanistan .
650,I would like to pass on five pieces of news by way of preliminary remarks .,Ich möchte hierzu fünf Neuigkeiten in Form von Vorbemerkungen weitergeben .,translate English to German: I would like to pass on five pieces of news by way of preliminary remarks .
651,Rufus stands out as one of the best and most unusual musical talents to have come to the fore in the past decade .,"Rufus ist einer der besten und atypischen Musiktalente , die im letzten Jahrzehnt auf die Bühnen kamen .",translate English to German: Rufus stands out as one of the best and most unusual musical talents to have come to the fore in the past decade .
652,I shall pass your point on to the President of Parliament because I am not a court that can judge even your arguments of unfair treatment today .,"Ich werde der Parlamentspräsidentin Ihren Standpunkt übermitteln , denn ich bin kein Gericht und kann hier auch nicht Ihre Argumente bezüglich eines Verstoßes gegen die Fairness beurteilen .",translate English to German: I shall pass your point on to the President of Parliament because I am not a court that can judge even your arguments of unfair treatment today .
653,"But we need to establish simple , daily and effective information to pass on and decentralise the interest among citizens in the work that we do here .","Wir müssen eine einfache , tägliche und effiziente Informationstätigkeit praktizieren , welche die Bedeutung der Arbeit , die wir hier verrichten , für die Bürger dezentral vermittelt .","translate English to German: But we need to establish simple , daily and effective information to pass on and decentralise the interest among citizens in the work that we do here ."
654,"Their outstanding traits are their high level of qualification and creativity , exceptional motivation and willingness to go the extra mile .",Sie zeichnen sich durch hohe Qualifikation und Kreativität sowie überdurchschnittliche Einsatzbereitschaft und Motivation aus .,"translate English to German: Their outstanding traits are their high level of qualification and creativity , exceptional motivation and willingness to go the extra mile ."
655,Off course we will treat all your data with the highest confidentiality and will not pass anything on to others .,Natürlich werden alle Ihre Daten absolut vertraulich behandelt und nicht an Dritte weitergegeben .,translate English to German: Off course we will treat all your data with the highest confidentiality and will not pass anything on to others .
656,"Any way you look at it , the Juicy Seven has always been hard to beat .","Wie man es auch dreht und wendet , die Juicy Seven war schon immer kaum zu schlagen .","translate English to German: Any way you look at it , the Juicy Seven has always been hard to beat ."
657,"The House is holding a joint debate , and I should like to hear two statements from you .","Wir führen eine verbundene Debatte , und ich hätte gern zwei Erklärungen von Ihnen .","translate English to German: The House is holding a joint debate , and I should like to hear two statements from you ."
659,"As you know , this demand means that the offence must also be punishable in the country to which the request for assistance is made in order for assistance to be able to be given .","Diese Forderung beinhaltet , wie Sie wissen , daß die Straftat auch in dem Land strafbar sein muß , an welches ein Amtshilfeersuchen gestellt wird , damit Amtshilfe geleistet werden kann .","translate English to German: As you know , this demand means that the offence must also be punishable in the country to which the request for assistance is made in order for assistance to be able to be given ."
660,I can assure you that we will note with interest the issues raised during the discussion and pass them on to all our colleagues .,"Ich kann Ihnen versichern , dass wir die Dinge , die hier während der Debatte angesprochen werden , mit Interesse verfolgen und an alle unsere Kollegen weiterleiten werden .",translate English to German: I can assure you that we will note with interest the issues raised during the discussion and pass them on to all our colleagues .
661,The floor is yours .,Sie haben das Wort .,translate English to German: The floor is yours .
662,"The best way to simplify legislation and administrative provisions is to have clear legal bases , but unfortunately in the cases concerned the only binding Community legislation is in Articles 130a to 130t .","Die beste Vereinfachung der Gesetzgebungs- und Verwaltungsvorschriften resultiert aus der Klarheit der Rechtsgrundlagen , aber leider sind sie in den betreffenden Fällen nur in den Artikeln 130 a bis 130 t verbindliches Gemeinschaftsrecht .","translate English to German: The best way to simplify legislation and administrative provisions is to have clear legal bases , but unfortunately in the cases concerned the only binding Community legislation is in Articles 130a to 130t ."
664,"I also call upon the President to express and pass on our sympathy and support to those who have been kidnapped , and their families , and for him to invite the skipper of the vessel , once he has been freed , to Parliament .","Ich fordere auch den Herrn Präsidenten auf , den Entführten und ihren Familien gegenüber unser Mitgefühl und unsere Unterstützung zum Ausdruck zu bringen und den Schiffskapitän nach seiner Befreiung ins Parlament einzuladen .","translate English to German: I also call upon the President to express and pass on our sympathy and support to those who have been kidnapped , and their families , and for him to invite the skipper of the vessel , once he has been freed , to Parliament ."
665,"So , if we accept this fuzziness , we will be referring back to the Court of Justice for interpretations , which we know in advance will be as broadly as possible in favour of Community authority .","Wenn wir diese unklare Situation schließlich akzeptierten , würden wir es dem Europäischen Gerichtshof überlassen , Interpretationen abzugeben , von denen wir im voraus wissen , daß sie , um die Gemeinschaftskompetenzen zu stärken , so extensiv wie möglich gehalten sein werden .","translate English to German: So , if we accept this fuzziness , we will be referring back to the Court of Justice for interpretations , which we know in advance will be as broadly as possible in favour of Community authority ."
666,"Mr President , I was very aggrieved when the President of the European Parliament did not have a seat at the table for the negotiations with President Bush .","Ich war sehr betrübt , als der Präsident des Europäischen Parlaments bei den Verhandlungen mit Präsident Bush keinen Platz am Verhandlungstisch erhielt .","translate English to German: Mr President , I was very aggrieved when the President of the European Parliament did not have a seat at the table for the negotiations with President Bush ."
667,"However , whistle-blowing has a different ramification in the west of Scotland : it tends to indicates flutes and that does not go down too well in my part of the world .","Im Westen Schottlands hat dieser Ausdruck allerdings eine andere Bedeutung , dort denkt man eher an Blockflöten , was in meinem Teil der Welt gar nicht so gut ankommt .","translate English to German: However , whistle-blowing has a different ramification in the west of Scotland : it tends to indicates flutes and that does not go down too well in my part of the world ."
668,"This , in a nutshell , provided the main impetus for our decision to resume the negotiations on the new EU-Russia agreement , despite what happened in Georgia last August .","Kurzum , dies war der Hauptimpuls für unsere Entscheidung , die Verhandlungen über das neue Abkommen EU-Russland trotz der Ereignisse in Georgien im vergangenen August wieder aufzunehmen .","translate English to German: This , in a nutshell , provided the main impetus for our decision to resume the negotiations on the new EU-Russia agreement , despite what happened in Georgia last August ."
669,Under REACH distributors have the obligation to pass on information up and down the supply chain .,"Gemäß REACH-VO sind Distributeure verpflichtet , den Informationsfluss entlang der Lieferkette sicherzustellen .",translate English to German: Under REACH distributors have the obligation to pass on information up and down the supply chain .
671,"How is it possible that , in this day and age , the four Member States that form part of the United Nations Security Council do not vote in the same way but rather do so differently ?","Wie ist es heute noch möglich , dass die vier Mitgliedstaaten , die im UN-Sicherheitsrat vertreten sind , nicht in derselben Weise abstimmen , sondern so unterschiedlich abstimmen ? --","translate English to German: How is it possible that , in this day and age , the four Member States that form part of the United Nations Security Council do not vote in the same way but rather do so differently ?"
672,But it was essential to have this kind of compromise in order to close the door to social dumping as a result of the freedom to provide services in the single market .,"Ein solcher Kompromiß war aber unerläßlich , um dem Sozialdumping als Folge der Dienstleistungsfreiheit im Binnenmarkt einen Riegel vorzuschieben .",translate English to German: But it was essential to have this kind of compromise in order to close the door to social dumping as a result of the freedom to provide services in the single market .
673,"To pass on their experiences to today &apos;s and future generations is one of the most distinguished tasks , our organizations are confronted with .","Deren Erfahrungen an heutige und zukünftige Generationen weiterzugeben ist eine der vornehmsten Aufgaben , die vor unseren Organisationen steht .","translate English to German: To pass on their experiences to today &apos;s and future generations is one of the most distinguished tasks , our organizations are confronted with ."
675,Please note : We respect your privacy ; we do not pass on details to any third party for any reason whatsoever .,"Bitte beachten Sie : Wir respektieren Ihre Privatsphäre , wir geben Ihre Daten auf keinen Fall an Dritte weiter .",translate English to German: Please note : We respect your privacy ; we do not pass on details to any third party for any reason whatsoever .
676,"With Nokia PC Suite , you can edit and organise your contacts , and write a to-do list and then pass it on to your mobile .","Mit Nokia PC Suite , werden Sie Ihre Kontakte editieren und organisieren , und Ihre Aufgabenliste erstellen können , um es später auf Ihren Telefon übertragen .","translate English to German: With Nokia PC Suite , you can edit and organise your contacts , and write a to-do list and then pass it on to your mobile ."
677,"I am sure that when you have all the necessary information , you will pass it on to this House so that we can also analyse it .","Ich bin sicher , sobald Ihnen alle erforderlichen Informationen vorliegen , werden sie diese unserem Haus übermitteln , damit wir sie ebenfalls analysieren können .","translate English to German: I am sure that when you have all the necessary information , you will pass it on to this House so that we can also analyse it ."
678,"In this day and age the solutions are much more complicated , and we must come up with a different approach .","Heutzutage sind die Lösungen viel komplizierter , und wir müssen ein anderes Konzept entwickeln .","translate English to German: In this day and age the solutions are much more complicated , and we must come up with a different approach ."
679,"For this reason , new deposits , such as gas in rocks , will be a useful supplement to existing deposits and will therefore reduce our dependency on imports .","Deswegen können eigene neue Vorkommen , wie z. B. Gas in Gesteinsformationen , eine hilfreiche Ergänzung unserer eigenen Vorkommen darstellen und damit unsere Importabhängigkeit verringern .","translate English to German: For this reason , new deposits , such as gas in rocks , will be a useful supplement to existing deposits and will therefore reduce our dependency on imports ."
681,Its major strengths really come to the fore when it is required in a number of these areas at the same time .,"Seine großen Stärken spielt es richtig aus , wenn es in mehreren dieser Disziplinen gleichzeitig gefordert wird .",translate English to German: Its major strengths really come to the fore when it is required in a number of these areas at the same time .
682,"It does not help to pass judgement on who is in the wrong and who is in the right at a time like this : what will help is doing everything we can to prevent a very difficult and fragile peace process from breaking down because of irresponsible acts of terrorism and , as one honourable Member said , this Parliament should not talk only of peace when it is still to be achieved .","In einem solchen Augenblick darüber zu urteilen , wer recht und wer unrecht hat , ist nutzlos : nützlich ist , alles daran zu setzen , damit dieser so schwierige und prekäre Friedensprozeß nicht aufgrund unverantwortlicher terroristischer Akte unterbrochen wird , und wie heute hier gesagt wurde , darf in diesem Parlament nicht nur von einem noch zu erreichenden Frieden gesprochen werden .","translate English to German: It does not help to pass judgement on who is in the wrong and who is in the right at a time like this : what will help is doing everything we can to prevent a very difficult and fragile peace process from breaking down because of irresponsible acts of terrorism and , as one honourable Member said , this Parliament should not talk only of peace when it is still to be achieved ."
683,"In a nutshell , Web-to-print is the dynamic generation of print templates using an online service that also accommodates relevant business processes .",Zusammenfassend betrachtet bedeutet Web-to-Print nichts anderes als : Dynamische Erzeugung von Druckvorlagen über einen Onlineservice unter Einbeziehung der entsprechenden Businessprozesse .,"translate English to German: In a nutshell , Web-to-print is the dynamic generation of print templates using an online service that also accommodates relevant business processes ."
684,Then the webmasters select the most frequently asked or especially interesting and creative questions and pass them on to the band to be answered .,Dann suchen die Webmaster die häufigsten und besonders interessanten und originellen Fragen aus und leiten sie an die Band weiter .,translate English to German: Then the webmasters select the most frequently asked or especially interesting and creative questions and pass them on to the band to be answered .
685,"Welcome Dr. Bretti in our rows , he will take care for our servers ! Have Fun !",Dr. Bretti wird ab heute auf den Servern für Recht und Ordnung sorgen .,"translate English to German: Welcome Dr. Bretti in our rows , he will take care for our servers ! Have Fun !"
686,"All the shops , restaurants , swimming-pool and tennis courts are to be found in the small town of VERDUN / DOUBS , 4 miles away or in SEURRE ( 7 miles ) .","Einkaufsmöglichkeiten , Restaurants , ein öffentliches Schwimmbad und Tennisplätze finden Sie in der kleinen Hafenstadt VERDUN-SUR-LE-DOUBS ( 6 km entfernt ) oder in SEURRE ( 10 km entfernt ) .","translate English to German: All the shops , restaurants , swimming-pool and tennis courts are to be found in the small town of VERDUN / DOUBS , 4 miles away or in SEURRE ( 7 miles ) ."
687,It must restore their hope of a decent living and lay the foundations for economic recovery by getting everyone to pull together .,"Sie muss ihre Hoffnung auf einen annehmbaren Lebensstandard wiederherstellen und die Grundlage für einen Wirtschaftsaufschwung schaffen , indem sie die Bürgerinnen und Bürger dazu veranlasst , an einem Strang zu ziehen .",translate English to German: It must restore their hope of a decent living and lay the foundations for economic recovery by getting everyone to pull together .
688,"I would request , Mr President , that you pass on this comment to Mr Cox .","Ich bitte Sie , Herr Präsident , diese Anmerkung Präsident Cox zu übermitteln .","translate English to German: I would request , Mr President , that you pass on this comment to Mr Cox ."
690,"This is an advantage that we pass on to you : As an institutional client you particularly wish to avoid your assets being exposed to any conflicts of interest , thus always allowing objectively correct decisions to be taken .","Diesen Vorteil geben wir an Sie weiter : Speziell im institutionellen Bereich sind Sie als Kunde darauf angewiesen , dass Ihre Vermögenswerte keinen Interessenskonflikten ausgesetzt sind und so stets die objektiv richtigen Entscheide gefällt werden .","translate English to German: This is an advantage that we pass on to you : As an institutional client you particularly wish to avoid your assets being exposed to any conflicts of interest , thus always allowing objectively correct decisions to be taken ."
692,") no CADdy EDS user , feel free to have a look around too !",") kein CADdy EDS - Anwender sind , laden wir Sie gerne ein , sich hier weiter umzusehen !","translate English to German: ) no CADdy EDS user , feel free to have a look around too !"
693,"We shall not have to foot the bill for this , but will pass it on to future generations , who will have to pay it with compound interest added .","Wir wollen die Rechnung für die Mahlzeit nicht bezahlen , sondern geben sie den nächsten Generationen weiter , die obendrein Zinseszinsen zu zahlen haben werden .","translate English to German: We shall not have to foot the bill for this , but will pass it on to future generations , who will have to pay it with compound interest added ."
694,It is important to pass on the target date in the first line to % Comment .,"Wichtig ist , dass in der ersten Zeile das Zieldatum an % Comment übergeben wird .",translate English to German: It is important to pass on the target date in the first line to % Comment .
695,"This regional pattern , of population decline in Europe , Russia and Ukraine , needs to be set against the larger picture of a 3 billion increase globally , mainly in the developing world .","Dieses regionale Muster der Bevölkerungsabnahme in Europa , Russland und in der Ukraine muss vor dem Hintergrund einer weltweiten Bevölkerungszunahme von 3 Milliarden insbesondere in den Entwicklungsländern betrachtet werden .","translate English to German: This regional pattern , of population decline in Europe , Russia and Ukraine , needs to be set against the larger picture of a 3 billion increase globally , mainly in the developing world ."
696,"But , in this day and age we also have to admit that unfortunately not all decision-makers have that as their sole consideration .","Doch heutzutage müssen wir auch zugeben , dass nicht alle Entscheidungsträger dies als ihren alleinigen Beweggrund ansehen .","translate English to German: But , in this day and age we also have to admit that unfortunately not all decision-makers have that as their sole consideration ."
697,Google Earth allows a place to fly at the altitude that you want by zooming in on areas of interest for further details .,"Google Earth ermöglicht ein Ort , um auf der Höhe fliegen , die Sie durch Vergrößern auf die Bereiche von Interesse für weitere Details .",translate English to German: Google Earth allows a place to fly at the altitude that you want by zooming in on areas of interest for further details .
698,"Too-big-to fail banks , and the markets in which they participate , now know that they can expect to be bailed out if they get into trouble .","So wissen jene Banken , die zu groß sind , um sie scheitern zu lassen – und die Märkte , in denen diese agieren – jetzt , dass sie darauf zählen können , dass man sie retten wird , wenn sie Probleme bekommen .","translate English to German: Too-big-to fail banks , and the markets in which they participate , now know that they can expect to be bailed out if they get into trouble ."
699,No problem . We shall take care of you !,"Es ist kein Problem für uns , wir versorgen Sie !",translate English to German: No problem . We shall take care of you !
700,The RIBs are equipped with “ jockeyseats ” so that every passenger will have a safe and comfortable seat and is able to enjoy the trip .,"Die RIB &apos; s sind mit &quot; Jockeyseats &quot; ausgestattet , so dass jeder Passagier einen sicheren und komfortabelen Platz hat , um von der Tour zu geniessen .",translate English to German: The RIBs are equipped with “ jockeyseats ” so that every passenger will have a safe and comfortable seat and is able to enjoy the trip .
701,We have to pull together now as a continent or we will fall apart .,"Wir als Kontinent müssen nun gemeinsam an einem Strang ziehen , oder wir werden auseinander brechen .",translate English to German: We have to pull together now as a continent or we will fall apart .
703,"TraviAustria affirms that it will not act in contradiction of this Data Protection Declaration , and beyond this that it will only pass on your personal data to third parties with your explicit permission .","TraviAustria versichert , nicht im Widerspruch zu dieser Datenschutzerklärung und darüber hinaus nur mit Ihrer ausdrücklichen Einwilligung personenbezogene Daten an Dritte weiterzugeben .","translate English to German: TraviAustria affirms that it will not act in contradiction of this Data Protection Declaration , and beyond this that it will only pass on your personal data to third parties with your explicit permission ."
705,"Without serious measures the EU development cooperation policy for the support and sustainable development of developing countries will be hard to implement , and the EU stands to lose face .","Ohne ernsthafte Maßnahmen lässt sich die Entwicklungszusammenarbeitspolitik der EU für die Unterstützung und nachhaltige Entwicklung der Entwicklungsländer wohl kaum umzusetzen . Die Union läuft somit Gefahr , ihr Gesicht zu verlieren .","translate English to German: Without serious measures the EU development cooperation policy for the support and sustainable development of developing countries will be hard to implement , and the EU stands to lose face ."
706,"The trials in Corsica began with the exploration of the helicopter ’ s flight envelope when equipped with the fire-fighting system , thus allowing the EC 225 to be engaged on different forest fire sites .","Der Test der Maschine in Korsika begann mit der Ermittlung ihres Flugbereichs bei installiertem Brandbekämpfungssystem , wobei die EC225 in verschiedenen Waldbrandgebieten zum Einsatz kam .","translate English to German: The trials in Corsica began with the exploration of the helicopter ’ s flight envelope when equipped with the fire-fighting system , thus allowing the EC 225 to be engaged on different forest fire sites ."
707,I am writing to the Lord Mayor of Manchester to pass on this message to the injured and to their families .,"In einem Schreiben an den Oberbürgermeister von Manchester werde ich ihn bitten , gegenüber den Verwundeten und ihren Familien das Mitgefühl des Parlaments zum Ausdruck zu bringen .",translate English to German: I am writing to the Lord Mayor of Manchester to pass on this message to the injured and to their families .
708,"Thank you , President-in-Office , I will pass on this answer to my party colleague , Sören Wibe .","Danke , Herr Ratspräsident ! Ich werde die Antwort an meinen Parteigenossen Sören Wibe weitergeben .","translate English to German: Thank you , President-in-Office , I will pass on this answer to my party colleague , Sören Wibe ."
709,I must say that my problems are finally running out !,"Ich muss sagen , dass meine Probleme endlich in Betrieb gegangen sind da !",translate English to German: I must say that my problems are finally running out !
712,"In a nutshell , Keynes struggled against the notion that if only countries would cut their deficits , &quot; confidence &quot; would be restored , investment would return , and the economy would again attain full employment .","Diese Theorie wurde von Keynes jedoch schon vor sechzig Jahren bekämpft . Kurz gefasst kämpfte Keynes gegen die Vorstellung , dass ein Land nur seine Ausgaben zu kürzen brauchte , um das &quot; Vertrauen &quot; wieder herzustellen , Investoren ins Land zu locken und Vollbeschäftigung zu erreichen .","translate English to German: In a nutshell , Keynes struggled against the notion that if only countries would cut their deficits , &quot; confidence &quot; would be restored , investment would return , and the economy would again attain full employment ."
713,"I am sorry if that upsets you , please pass it on to your colleagues !","Es tut mir leid , daß es Sie trifft , sagen Sie es bitte Ihren Kolleginnen und Kollegen !","translate English to German: I am sorry if that upsets you , please pass it on to your colleagues !"
714,I hope you will enjoy what you hear .,"Ich hoffe , das Ergebnis wird Euch gefallen ..",translate English to German: I hope you will enjoy what you hear .
715,We all know that after Kyoto savings are going to have to be made in the energy sector .,"Herr Präsident , uns allen ist bekannt , daß nach Kyoto insbesondere Einsparungen im Energiebereich vorgenommen werden sollen .",translate English to German: We all know that after Kyoto savings are going to have to be made in the energy sector .
716,We in Europe must know that there can be no response to the great challenges of the present day without Europe .,Wir in Europa müssen wissen : Ohne Europa wird es keine Antwort auf die großen Herausforderungen geben .,translate English to German: We in Europe must know that there can be no response to the great challenges of the present day without Europe .
717,"In that respect – and as regards the way in which it enables us to send out a very penetrating and clear signal about the protection of the environment – I regard Article 6 as very important , and I also hope that this House will reject any attempts at watering it down .","Ich halte daher den Artikel 6 – und dass wir hier ein sehr scharfes und klares Umweltschutzsignal erreichen – für sehr wichtig und hoffe auch , dass sich dieses Parlament gegen versuchte Verwässerungen wendet .","translate English to German: In that respect – and as regards the way in which it enables us to send out a very penetrating and clear signal about the protection of the environment – I regard Article 6 as very important , and I also hope that this House will reject any attempts at watering it down ."
718,Serious cost disadvantages are expected which ThyssenKrupp Steel cannot pass on to its customers or offset through rationalization measures .,Den zu erwartenden gravierenden Kostennachteil kann ThyssenKrupp Steel nicht an die Kunden weitergeben und auch nicht durch Rationalisierungsmaßnahmen wettmachen .,translate English to German: Serious cost disadvantages are expected which ThyssenKrupp Steel cannot pass on to its customers or offset through rationalization measures .
719,"This will enable the European Community to pass a clear signal to the AIDCP at its Annual Meeting beginning on 13 June 2005 , that with the adoption by Parliament of this proposal from the Commission , the European Community is well on the road to completing the necessary internal procedures to becoming a full member of this organisation .","Dadurch kann die Europäische Gemeinschaft auf der am 13. Juni 2005 beginnenden Jahrestagung des Übereinkommens zum Internationalen Delphinschutzprogramm ( AIDCP ) ein deutliches Signal setzen , dass sich die Europäische Gemeinschaft mit der Verabschiedung dieses Kommissionsvorschlags durch das Parlament auf dem rechten Weg zum Abschluss der erforderlichen internen Verfahren für eine Vollmitgliedschaft in dieser Organisation befindet .","translate English to German: This will enable the European Community to pass a clear signal to the AIDCP at its Annual Meeting beginning on 13 June 2005 , that with the adoption by Parliament of this proposal from the Commission , the European Community is well on the road to completing the necessary internal procedures to becoming a full member of this organisation ."
720,"There will still be companies , such as those that produce asbestos , that continue to pass the dangers on to their workers and to consumers ; companies which , in all conscience , will continue to run the risk of poisoning and even murdering people , in order to make a little more profit .","Es wird immer noch Unternehmen wie die Asbesthersteller geben , die den Beschäftigten im Betrieb und den Verbrauchern die Gefahren verheimlichen ; Unternehmen , die auch weiterhin bewußt das Risiko eingehen werden , andere zu vergiften und sogar umzubringen , um ein bißchen mehr Profit zu erzielen .","translate English to German: There will still be companies , such as those that produce asbestos , that continue to pass the dangers on to their workers and to consumers ; companies which , in all conscience , will continue to run the risk of poisoning and even murdering people , in order to make a little more profit ."
721,It takes two to tango .,Zum Tango gehören immer zwei .,translate English to German: It takes two to tango .
722,Should we be seeking “ genetic fixes ” or ways to re-engineer the genes we pass on to our children ?,"Sollten wir nach „ genetischen Festlegungen “ oder Wegen suchen , um die Gene , die wir an unsere Kinder weitergeben , neu zu konstruieren ?",translate English to German: Should we be seeking “ genetic fixes ” or ways to re-engineer the genes we pass on to our children ?
723,"Both the timing and the nuance of approaches to Turkmenistan will be crucial : a new natural gas pricing deal between Turkmenistan and Russia will likely bring windfall profits to Ashgabat in the near future , and this extra cash could make an authoritarian backslide tempting .","Sowohl Timing als auch die Nuancen der Annäherung an Turkmenistan sind dabei entscheidend : Eine neue Vereinbarung über den Erdgaspreis zwischen Turkmenistan und Russland dürfte Aschgabat in naher Zukunft unverhoffte Gewinne einbringen , und dieses zusätzliche Geld könnte einen autoritären Rückfall verführerisch erscheinen lassen .","translate English to German: Both the timing and the nuance of approaches to Turkmenistan will be crucial : a new natural gas pricing deal between Turkmenistan and Russia will likely bring windfall profits to Ashgabat in the near future , and this extra cash could make an authoritarian backslide tempting ."
724,I shall be very interested to hear what you have to say to us . Until then I am still in favour of continuing this aid .,"Während ich also mit großem Interesse auf Ihre erneuten Vorschläge warte , bleibe ich zumindest derzeit noch ein Verfechter der Weiterführung dieser Hilfe .",translate English to German: I shall be very interested to hear what you have to say to us . Until then I am still in favour of continuing this aid .
725,"In the past commitments have simply built up from one budget exercise to the next , with almost no effort to pull things together into a coherent whole .","In der Vergangenheit sind die Verpflichtungen von einem Haushaltsjahr zum nächsten einfach angewachsen , und es wurde fast keine Anstrengung unternommen , alles zu einem kohärenten Ganzen zu verknüpfen .","translate English to German: In the past commitments have simply built up from one budget exercise to the next , with almost no effort to pull things together into a coherent whole ."
726,It must be made clear that working legally is the only way to work in Europe .,"Es muss deutlich werden , dass legale Beschäftigung die einzige Form der Beschäftigung in Europa ist .",translate English to German: It must be made clear that working legally is the only way to work in Europe .
727,"This morning , the European Parliament sought to kill two birds with one stone by settling the continuing problem of Members &apos; travel expenses and at the same time advancing the cause of federalism .","Heute vormittag wollte unser Parlament zwei Fliegen mit einer Klappe schlagen , indem es das leidige Problem der Reisekosten der Abgeordneten regelt und gleichzeitig die Sache des Föderalismus weiter voranbringt .","translate English to German: This morning , the European Parliament sought to kill two birds with one stone by settling the continuing problem of Members &apos; travel expenses and at the same time advancing the cause of federalism ."
728,"8 And it shall come to pass that whosoever shall a believe on the Son of God , the same shall have everlasting life .","8 Und es wird sich begeben : Wer auch immer an den Sohn Gottes a glaubt , derjenige wird immerwährendes Leben haben .","translate English to German: 8 And it shall come to pass that whosoever shall a believe on the Son of God , the same shall have everlasting life ."
729,"We intend to be proactive and know that , in all the issues which we discuss , we will need the active support of Parliament .","Wir rechnen mit einer aktiven Arbeit und wissen , dass wir in allen zu behandelnden Fragen die volle Unterstützung des Europäischen Parlaments benötigen .","translate English to German: We intend to be proactive and know that , in all the issues which we discuss , we will need the active support of Parliament ."
732,"For orders above € 100,00 we will take care of the shipping costs !","Bei Bestellungen mehr als € 100,00 übernehmen wir die Versandkosten !","translate English to German: For orders above € 100,00 we will take care of the shipping costs !"
734,"I know that my site can be subject to withholding in the Land of the Two Holy and sisters .. .. Ihajabuh But I mean , but I understand why no other means , Arab media and human rights group Arbawip ago .. Said or whispered , or ..","Ich weiß , dass meine Website unterliegen kann Quellensteuer im Land der zwei Heiligen und Schwestern .. .. Ihajabuh Aber ich meine , aber ich verstehe , warum kein anderes Mittel , Arabische Medien und Menschenrechtsorganisationen Gruppe Arbawip vor .. Said oder geflüstert , oder ..","translate English to German: I know that my site can be subject to withholding in the Land of the Two Holy and sisters .. .. Ihajabuh But I mean , but I understand why no other means , Arab media and human rights group Arbawip ago .. Said or whispered , or .."
735,Everyone must now pull together to make it happen and achieve the objectives that we first set out for ourselves when we agreed the Doha Charter all those years ago .,"Jeder muss nun am gleichen Strang ziehen , damit wir das schaffen und die Ziele erreichen , die wir uns eingangs gesteckt haben , als wir vor so vielen Jahren die Charta von Doha vereinbarten .",translate English to German: Everyone must now pull together to make it happen and achieve the objectives that we first set out for ourselves when we agreed the Doha Charter all those years ago .
