,en,de,en_task,existing_task_with_suffix_translations
850,"There is one bitter pill for our group above all others to swallow , and that is the issue of renewable energies and the issue of the Euratom resources .","Es gibt einen Wermutstropfen , der vor allem unsere Fraktion betrifft , nämlich die Frage der erneuerbaren Energien und die Frage der Euratom-Mittel .","translate English to German: There is one bitter pill for our group above all others to swallow , and that is the issue of renewable energies and the issue of the Euratom resources .","<pad> Unsere Fraktion hat vor allem eine bittere Pille zu schlucken, nämlich die Frage der erneuerbaren Energien und die Frage der Euratom-Ressourcen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
851,"In the big picture , we could be close to real balance .",Im Großen befinden wir uns wahrscheinlich nahe am echten Gleichgewicht .,"translate English to German: In the big picture , we could be close to real balance .",<pad> Im Großen und Ganzen könnten wir uns einem wirklichen Gleichgewicht nähern.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
852,"Those are two unrelated issues , I hear you say .","Das eine hat doch mit dem anderen nichts zu tun , werden Sie einwenden .","translate English to German: Those are two unrelated issues , I hear you say .","<pad> Das sind zwei miteinander verwobene Fragen, wie Sie höre, gesagt haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
853,"on behalf of the S &amp; D Group . - Mr President , in this day and age , no one should be dying from TB .","im Namen der S &amp; D-Fraktion . - Herr Präsident , heutzutage sollte eigentlich niemand mehr an TB sterben .","translate English to German: on behalf of the S &amp; D Group . - Mr President , in this day and age , no one should be dying from TB .",<pad> im Namen der S&amp; D-Fraktion. - Herr Präsident! In unserer Zeit sollte niemand an TB sterben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
855,Of course this is one of the things that the Asylum Support Office will be looking at : how to pull together that information from a variety of sources in a more standard format and perhaps a format where people will have greater confidence that the information is not being used politically .,"Natürlich ist dies eines der Dinge , um das sich das Unterstützungsbüro für Asylfragen kümmern wird : wie man sich diese Informationen aus einer Vielzahl von Quellen in einem standardisierteren Format beschafft und vielleicht einem Format , bei dem die Menschen ein größeres Zutrauen haben , dass die Informationen nicht politisch benutzt werden .",translate English to German: Of course this is one of the things that the Asylum Support Office will be looking at : how to pull together that information from a variety of sources in a more standard format and perhaps a format where people will have greater confidence that the information is not being used politically .,"<pad> Das ist natürlich eines der Themen, mit denen das Asyl-Stützungsbüro sich befassen wird : Wie können diese Informationen aus verschiedenen Quellen in einem standarderen Format zusammengetragen werden und vielleicht ein Format, in dem die Bürger größeres Vertrauen haben, dass diese Informationen nicht politisch verwendet werden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
857,I do not know whether in the future he is likely to be renominated or redesignated but in any event he is one of the many innocent victims of the fall-out of recent events and I would like to record that on my own behalf .,"Ich weiß nicht , ob er Chancen hat , erneut ernannt oder berufen zu werden , aber er zählt jedenfalls zu den zahlreichen Opfern der Nachwehen der jüngsten Ereignisse , und ich möchte dies als eine persönliche Äußerung im Protokoll festgehalten sehen .",translate English to German: I do not know whether in the future he is likely to be renominated or redesignated but in any event he is one of the many innocent victims of the fall-out of recent events and I would like to record that on my own behalf .,"<pad> Ich weiß nicht, ob er künftig noch einmal nominiert oder neu gestaltet werden kann, aber zumindest gehört er zu den vielen unschuldigen Opfern des Rückgangs der jüngsten Ereignisse, und ich möchte das in meinem Namen aufzeichnen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
858,WE take care of YOUR well-being !,"WIR sorgen dafür , dass SIE sich wohlfühlen !",translate English to German: WE take care of YOUR well-being !,<pad> Wir kümmern uns um Ihr Wohlbefinden!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
859,"on behalf of the UEN Group . - ( PL ) Mr President , climate change really is one of the most serious problems facing mankind in this day and age .","im Namen der UEN-Fraktion . - ( PL ) Herr Präsident ! Der Klimawandel ist wirklich eines der schwersten Probleme , mit denen die Menschheit in unserer Zeit zu kämpfen hat .","translate English to German: on behalf of the UEN Group . - ( PL ) Mr President , climate change really is one of the most serious problems facing mankind in this day and age .",<pad> im Namen der UEN-Fraktion. - ( PL ) Herr Präsident! Der Klimawandel ist in der heutigen Zeit wirklich eines der schwersten Probleme der Menschheit.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
860,What we cannot do is pass our problems on to our neighbour .,Denn eines dürfen wir natürlich nicht – unsere Probleme auf die Nachbarn abwälzen .,translate English to German: What we cannot do is pass our problems on to our neighbour .,<pad> Wir können unsere Probleme nicht an unseren Nachbarn weitergeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
861,Of course you can also pass on your praise and criticism to us here .,Natürlich können Sie an dieser Stelle auch Lob und Kritik an uns weitergeben .,translate English to German: Of course you can also pass on your praise and criticism to us here .,<pad> Natürlich können Sie uns auch Ihre Lobos und Kritik hier übermitteln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
862,"Designing , Developing , Planning , Coordinating , Managing , Assuring Quality . It is within this framework that our IT specialists continually raise the bar thanks to their remarkably diverse set of creative and specialized skills .","Konzeption , Entwicklung , Planung , Steuerung , Lenkung und Gewährleistung bestimmen grob den Rahmen , innerhalb dessen Sie als Informatiker in unserem Konzern auf ausgesprochen vielseitige , kreative und technisch anspruchsvolle Weise Ihre Benchmarks setzen .","translate English to German: Designing , Developing , Planning , Coordinating , Managing , Assuring Quality . It is within this framework that our IT specialists continually raise the bar thanks to their remarkably diverse set of creative and specialized skills .","<pad> Design, Entwicklung, Planung, Koordinierung, Verwaltung, Qualitätssicherung.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
864,"In a nutshell , they must enshrine all the values and principles which unite all European citizens .","Letztendlich geht es darum , daß die gemeinsamen Wertvorstellungen und Prinzipien aller europäischen Bürger entsprechend verankert werden .","translate English to German: In a nutshell , they must enshrine all the values and principles which unite all European citizens .","<pad> Kurz gesagt, sie müssen alle Werte und Grundsätze festschreiben, die alle europäischen Bürgerinnen und Bürger vereinen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
865,"I can assure you of one thing , Commissioner , and you can pass this on to your successor , Parliament will continue to touch on this sore point .","Und eins kann ich Ihnen versichern , Frau Kommissarin , geben Sie das an Ihren Nachfolger oder Ihre Nachfolgerin weiter : Das Parlament wird weiter die Finger in diese Wunde legen .","translate English to German: I can assure you of one thing , Commissioner , and you can pass this on to your successor , Parliament will continue to touch on this sore point .","<pad> Ich kann Ihnen eines versichern, Herr Kommissar, und Sie können das an Ihren Nachfolger weiterleiten, denn das Parlament wird diesen so spürbaren Punkt auch weiterhin ansprechen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
866,All Inclusive offers you and your family excellent value for money and the opportunity to sit back and relax - we &apos;ll take care of everything !,"Alles Inklusive Angebote bieten Ihnen und Ihre Familie ausgezeichneten Wert für Geld und die Gelegenheit , sich zurückzulehnen und zu entspannen , denn wir werden auf alles aufpassen !",translate English to German: All Inclusive offers you and your family excellent value for money and the opportunity to sit back and relax - we &apos;ll take care of everything !,"<pad> Alle Inclusive bietet Ihnen und Ihrer Familie ein ausgezeichnetes Preis-Leistungs-Verhältnis und die Möglichkeit, sich zurückzulehnen und sich zu erholen - wir kümmern uns um alles!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
867,"00 : 01 : 05 : 13 , 00 : 01 : 10 : 15 , So here &apos;s the reasoning in a nutshell .","00 : 01 : 05 : 13 , 00 : 01 : 10 : 15 , Hier ist die Argumentation in aller Kürze .","translate English to German: 00 : 01 : 05 : 13 , 00 : 01 : 10 : 15 , So here &apos;s the reasoning in a nutshell .","<pad> 00 : 01 : 05 : 13, 00 : 01 : 10 : 15, Also hier ist kurz gesagt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
868,The public would find it incomprehensible if a Member State were to get out of hand without the EU doing anything about it .,"Die Bürgerinnen und Bürger würden nicht verstehen , wenn ein Mitgliedstaat aus dem Ruder läuft und die Union nichts unternimmt . Natürlich wollen wir nicht in die inneren Angelegenheiten eines Staates eingreifen .",translate English to German: The public would find it incomprehensible if a Member State were to get out of hand without the EU doing anything about it .,"<pad> Die <unk> ffentlichkeit würde es unverständlich finden, wenn ein Mitgliedstaat außer Kontrolle geraten würde, ohne dass die EU etwas dagegen unternimmt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
869,"Location is exellent for 1 week trip you can go to the top places in NY in just minutes , airport is just 25 min from this hotel by subway .",das zimmer war schön und sauber die betten groß und es war gut zu schlafen .,"translate English to German: Location is exellent for 1 week trip you can go to the top places in NY in just minutes , airport is just 25 min from this hotel by subway .","<pad> The location was excellent, right in the heart of the old town. The rooms were spacious, bright and clean with windows that opened, giving you a view of the old town.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
870,"It is obvious that , if we wish to beat illegal immigration , we need to stop undeclared work , because undeclared work means exploitation and is also a factor that attracts further illegal immigration .","Es liegt auf der Hand , dass , wenn wir die illegale Einwanderung besiegen wollen , wir die Schwarzarbeit stoppen müssen , weil Schwarzarbeit Ausbeutung bedeutet und zudem ein Faktor ist , der einen Anreiz für weitere illegale Einwanderung bietet .","translate English to German: It is obvious that , if we wish to beat illegal immigration , we need to stop undeclared work , because undeclared work means exploitation and is also a factor that attracts further illegal immigration .","<pad> Es liegt auf der Hand, dass wir, um die illegale Einwanderung zu besiegen, die Schwarzarbeit aufhören müssen, denn Schwarzarbeit bedeutet Ausbeutung und ist zudem ein Faktor, der weitere illegale Einwanderung anzieht.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
871,In the light of these Member States &apos; declarations it would be interesting to know how the Commission is preparing to implement the new Treaty now and in the future .,"Angesichts der Erklärungen der Mitgliedstaaten wäre es interessant zu erfahren , welche Vorbereitungen die Kommission trifft , um den Vertrag heute und in Zukunft anzuwenden .",translate English to German: In the light of these Member States &apos; declarations it would be interesting to know how the Commission is preparing to implement the new Treaty now and in the future .,"<pad> Es wäre interessant zu erfahren, wie die Kommission sich derzeit und in Zukunft auf die Umsetzung des neuen Vertrags vorbereitet.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
872,"However , since the State of the Union address , a hard unilateralist line has come to the fore .",Seit der Rede über den Zustand der Nation setzt sich nun allerdings eine harte Linie der völligen Einseitigkeit durch .,"translate English to German: However , since the State of the Union address , a hard unilateralist line has come to the fore .",<pad> Seit der Ansprache des Staates der Union ist jedoch eine harte unilateralistische Linie in den Vordergrund gerückt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
